# Perceptron non moyenné sans shuffle
# Apprentissage Test (10000 10000 100)
0.8234		0.7838
		
0.7901		0.7817
		
0.7854		0.7938
		
0.7834		0.7909
		
0.7825		0.795
		
0.7825		0.807
		
0.7795		0.7895
		
0.7831		0.7856
		
0.7824		0.8006
		
0.7781		0.8136
		
0.7837		0.7899
		
0.7794		0.7903
		
0.7787		0.7831
		
0.7791		0.7968
		
0.7819		0.7808
		
0.779		0.7891
		
0.7826		0.7884
		
0.784		0.7783
		
0.7742		0.7997
		
0.7829		0.7798
		
0.7792		0.7988
		
0.7798		0.7896
		
0.7789		0.7962
		
0.7792		0.7819
		
0.7793		0.783
		
0.7768		0.7922
		
0.7833		0.7877
		
0.7776		0.7888
		
0.7794		0.7894
		
0.7815		0.7859
		
0.7801		0.7914
		
0.7807		0.7876
		
0.7769		0.7822
		
0.7816		0.7816
		
0.7818		0.7821
		
0.7778		0.7883
		
0.7783		0.7901
		
0.778		0.7929
		
0.7829		0.7872
		
0.7792		0.7906
		
0.7772		0.789
		
0.7795		0.7852
		
0.7808		0.7839
		
0.7778		0.7844
		
0.7787		0.7858
		
0.7793		0.7917
		
0.7825		0.7848
		
0.7792		0.7869
		
0.7795		0.7905
		
0.7805		0.7876
		
0.7789		0.789
		
0.7777		0.7874
		
0.7787		0.7877
		
0.7796		0.7816
		
0.7793		0.7844
		
0.7788		0.7887
		
0.7816		0.7817
		
0.7769		0.7856
		
0.7791		0.7858
		
0.778		0.7814
		
0.7764		0.7925
		
0.7803		0.7841
		
0.7783		0.785
		
0.7785		0.7874
		
0.7795		0.789
		
0.7821		0.7825
		
0.7771		0.782
		
0.7799		0.7838
		
0.7772		0.7854
		
0.7803		0.7846
		
0.7791		0.7832
		
0.7794		0.7895
		
0.784		0.7831
		
0.7791		0.7829
		
0.778		0.7877
		
0.7777		0.7845
		
0.7777		0.7889
		
0.7833		0.7852
		
0.7818		0.787
		
0.781		0.7836
		
0.7816		0.7825
		
0.7813		0.7824
		
0.7789		0.7852
		
0.7812		0.7843
		
0.7777		0.786
		
0.7785		0.7856
		
0.7798		0.7859
		
0.7796		0.7859
		
0.7777		0.7894
		
0.7805		0.7864
		
0.7777		0.7874
		
0.7796		0.7863
		
0.7775		0.787
		
0.7799		0.7851
		
0.7793		0.7845
		
0.7796		0.7886
		
0.7814		0.7873
		
0.7781		0.7872
		
0.7788		0.7851
		
0.7778		0.7849
