0.8243		0.7993
		
0.7987		0.7933
		
0.7912		0.795
		
0.7813		0.8153
		
0.7885		0.7795
		
0.7845		0.7902
		
0.7828		0.7888
		
0.7831		0.7852
		
0.7828		0.7866
		
0.7828		0.788
		
0.7804		0.791
		
0.7766		0.7857
		
0.7813		0.7852
		
0.7771		0.7893
		
0.7842		0.7866
		
0.7787		0.7782
		
0.7767		0.7965
		
0.7791		0.7895
		
0.78		0.7956
		
0.7836		0.7865
		
0.7812		0.7889
		
0.7803		0.7835
		
0.7785		0.7888
		
0.7815		0.7843
		
0.7813		0.7917
		
0.7774		0.7864
		
0.776		0.7986
		
0.7816		0.7792
		
0.7769		0.784
		
0.7739		0.7841
		
0.782		0.7793
		
0.779		0.7835
		
0.7777		0.7859
		
0.7775		0.7908
		
0.7825		0.7812
		
0.7807		0.7892
		
0.7789		0.7836
		
0.7808		0.7826
		
0.7801		0.786
		
0.777		0.7833
		
0.7802		0.7853
		
0.7769		0.785
		
0.7788		0.783
		
0.782		0.784
		
0.7796		0.7795
		
0.7773		0.7835
		
0.7802		0.7866
		
0.7792		0.7867
		
0.7814		0.7802
		
0.7807		0.7827
		
0.7798		0.7827
		
0.7785		0.789
		
0.78		0.7846
		
0.7783		0.7847
		
0.7784		0.7889
		
0.7781		0.7867
		
0.7784		0.7826
		
0.7821		0.7824
		
0.7797		0.784
		
0.7805		0.7869
		
0.7821		0.7836
		
0.7803		0.7826
		
0.7796		0.7822
		
0.7791		0.7794
		
0.7783		0.7858
		
0.7794		0.7822
		
0.7752		0.786
		
0.7767		0.7894
		
0.7816		0.7843
		
0.7787		0.7865
		
0.7781		0.7859
		
0.7815		0.7798
		
0.7778		0.7831
		
0.7768		0.7874
		
0.7818		0.7877
		
0.7792		0.7859
		
0.7782		0.7839
		
0.7769		0.7845
		
0.7804		0.7827
		
0.7776		0.787
		
0.7793		0.7841
		
0.7798		0.7858
		
0.7769		0.7882
		
0.7791		0.7836
		
0.7802		0.7838
		
0.7814		0.7786
		
0.7753		0.7839
		
0.7779		0.7874
		
0.7779		0.7853
		
0.7785		0.7877
		0.785
		
0.7783		0.7834
		
0.7775		0.7856
		
0.7808		0.7855
		
0.7822		0.7855
		
0.7805		0.7851
		
0.7812		0.7832
		
0.7774		0.7844
		
0.7757		0.787
