# Perceptron non moyenné sans shuffle
# Apprentissage Test (10000 10000 100)
0.819		0.8116
		
0.802		0.7977
		
0.7936		0.7901
		
0.7897		0.7877
		
0.7886		0.7837
		
0.7869		0.7827
		
0.7866		0.7838
		
0.7847		0.7836
		
0.7846		0.7823
		
0.7842		0.7824
		
0.784		0.7815
		
0.7826		0.7825
		
0.7823		0.7826
		
0.7816		0.7825
		
0.7826		0.7829
		
0.7821		0.7834
		
0.7812		0.7833
		
0.7799		0.7827
		
0.781		0.7841
		
0.7792		0.7833
		
0.7801		0.7832
		
0.7811		0.7826
		
0.7817		0.783
		
0.7814		0.7823
		
0.7807		0.7823
		
0.7809		0.7821
		
0.7804		0.782
		
0.7807		0.7821
		
0.7813		0.7819
		
0.7808		0.7815
		
0.7799		0.7827
		
0.7808		0.7829
		
0.7804		0.7826
		
0.7811		0.7829
		
0.7805		0.7833
		
0.78		0.7833
		
0.7789		0.7823
		
0.7812		0.7829
		
0.7817		0.783
		
0.7812		0.7834
		
0.7805		0.7837
		
0.7812		0.7842
		
0.7811		0.7839
		
0.7805		0.7839
		
0.7803		0.7841
		
0.7803		0.7842
		
0.7801		0.7843
		
0.7805		0.7844
		
0.781		0.7844
		
0.7795		0.7844
		
0.7798		0.784
		
0.7796		0.7836
		
0.7793		0.7839
		
0.7802		0.7838
		
0.7816		0.7844
		
0.7806		0.7841
		
0.7811		0.7842
		
0.7806		0.7843
		
0.7801		0.7839
		
0.781		0.7842
		
0.7805		0.7843
		
0.7799		0.7841
		
0.7804		0.7843
		
0.78		0.7847
		
0.7788		0.7838
		
0.7797		0.7838
		
0.7794		0.7849
		
0.7791		0.7843
		
0.7786		0.7846
		
0.7786		0.7847
		
0.7787		0.7839
		
0.779		0.7849
		
0.7786		0.7847
		
0.7791		0.7845
		
0.7797		0.7852
		
0.7786		0.7848
		
0.7793		0.7854
		
0.7789		0.7851
		
0.7793		0.785
		
0.7787		0.7847
		
0.778		0.785
		
0.7787		0.7845
		
0.7792		0.7847
		
0.7788		0.7849
		
0.7789		0.7847
		
0.7789		0.7847
		
0.7788		0.7847
		
0.7796		0.7844
		
0.7792		0.7847
		
0.7794		0.7847
		
0.7791		0.7848
		
0.7789		0.7846
		
0.7793		0.7847
		
0.7789		0.7843
		
0.7787		0.7844
		
0.7782		0.7846
		
0.7794		0.7847
		
0.7796		0.7845
		
0.7791		0.7846
		
0.7793		0.7848
